x,y
0.285714,2.4994
0.285714,2.69161
0.285714,-2.72487
0.285714,-2.45095
0.285714,-0.801938
0.285714,0.189047
0.285714,0.583184
0.285714,2.59264
0.285714,2.61289
0.428571,-2.53257
0.428571,-2.24698
0.428571,-1.58101
0.428571,-0.047311
0.428571,1.82799
0.428571,1.96891
0.428571,2.61097
0.428571,-2.538
0.428571,-2.23613
0.428571,-1.58883
0.428571,-0.0427805
0.428571,1.8022
0.428571,1.99533
0.428571,2.60822
0.428571,-2.54314
0.428571,-2.22543
0.428571,-1.59678
0.428571,-0.0382538
0.428571,1.78191
0.428571,2.01629
0.428571,2.6054
0.428571,-2.5509
0.428571,-2.20829
0.428571,-1.60999
0.428571,-0.0309366
0.428571,1.75488
0.428571,2.04454
0.428571,2.6007
0.428571,-2.55541
0.428571,-2.19773
0.428571,-1.61838
0.428571,-0.026418
0.428571,1.74036
0.428571,2.05987
0.428571,2.59771
0.428571,-2.56636
0.428571,-2.16991
0.428571,-1.64133
0.428571,-0.0145984
0.428571,1.70718
0.428571,2.0955
0.428571,2.58951
0.428571,-2.56483
0.428571,-2.174
0.428571,-1.63788
0.428571,-0.0163221
0.428571,1.71169
0.428571,2.09061
0.428571,2.59074
0.428571,-2.56879
0.428571,-2.16324
0.428571,-1.64698
0.428571,-0.0118097
0.428571,1.70009
0.428571,2.10325
0.428571,2.58749
0.428571,-2.57852
0.428571,-2.13423
0.428571,-1.67221
0.428571,1.45037e-09
0.428571,1.67221
0.428571,2.13423
0.428571,2.57852
0.428571,-2.58951
0.428571,-2.0955
0.428571,-1.70718
0.428571,0.0145984
0.428571,1.64133
0.428571,2.16991
0.428571,2.56636
0.428571,-2.5749
0.428571,-2.14549
0.428571,-1.66231
0.428571,-0.00451051
0.428571,1.68249
0.428571,2.1227
0.428571,2.58203
0.428571,-2.57852
0.428571,-2.13423
0.428571,-1.67221
0.428571,1.19303e-09
0.428571,1.67221
0.428571,2.13423
0.428571,2.57852
0.428571,-2.58749
0.428571,-2.10325
0.428571,-1.70009
0.428571,0.0118097
0.428571,1.64698
0.428571,2.16324
0.428571,2.56879
0.428571,-2.59771
0.428571,-2.05987
0.428571,-1.74036
0.428571,0.026418
0.428571,1.61838
0.428571,2.19773
0.428571,2.55541
0.428571,-2.6054
0.428571,-2.01629
0.428571,-1.78191
0.428571,0.0382538
0.428571,1.59678
0.428571,2.22543
0.428571,2.54314
0.428571,-2.57852
0.428571,-2.13423
0.428571,-1.67221
0.428571,3.73444e-10
0.428571,1.67221
0.428571,2.13423
0.428571,2.57852
0.428571,-2.58203
0.428571,-2.1227
0.428571,-1.68249
0.428571,0.00451051
0.428571,1.66231
0.428571,2.14549
0.428571,2.5749
0.428571,-2.59074
0.428571,-2.09061
0.428571,-1.71169
0.428571,0.0163221
0.428571,1.63788
0.428571,2.174
0.428571,2.56483
0.428571,-2.6007
0.428571,-2.04454
0.428571,-1.75488
0.428571,0.0309366
0.428571,1.60999
0.428571,2.20829
0.428571,2.5509
0.428571,-2.60822
0.428571,-1.99533
0.428571,-1.8022
0.428571,0.0427805
0.428571,1.58883
0.428571,2.23613
0.428571,2.538
